Villanova,2142
Gonzaga,2029
Kansas,2058
Kentucky,2054
North Carolina,2030
Duke,2044
Louisville,1978
Arizona,2038
West Virginia,1966
UCLA,1965
Virginia,1924
Saint Mary’s (CA),1888
Purdue,1932
Wichita State,1972
Southern Methodist,2019
Iowa State,1959
Baylor,1925
Oregon,2026
Butler,1892
Florida,1946
Florida State,1897
Cincinnati,1903
Wisconsin,1874
Michigan,1968
Notre Dame,1932
Creighton,1887
Oklahoma State,1863
Miami (FL),1867
Arkansas,1827
Vanderbilt,1816
Rhode Island,1847
Kansas State,1745
South Carolina,1745
Seton Hall,1864
Dayton,1800
Marquette,1830
Michigan State,1791
Wake Forest,1797
Xavier,1773
Virginia Commonwealth,1823
Middle Tennessee,1816
Maryland,1754
Northwestern,1764
Minnesota,1827
Providence,1805
Southern California,1764
Nevada,1827
Princeton,1824
North Carolina-Wilmington,1798
Virginia Tech,1822
Vermont,1786
Bucknell,1679
East Tennessee State,1721
Winthrop,1664
Florida Gulf Coast,1619
New Mexico State,1630
Iona,1608
Kent State,1625
Troy,1643
Northern Kentucky,1614
South Dakota State,1624
North Dakota,1591
Texas Southern,1502
Jacksonville State,1548
North Carolina Central,1513
UC-Davis,1528
Mount St. Mary’s,1454
New Orleans,1524